"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"15f9f4e1-233b-de2c-649c-20e25e99e43c",283126.8358333333,200000.0,1,2.0,4600000.0,3.0,4850000.0,7.0,1.0,1.0,1.0,0.0,0.0,11.0,200000.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,84.27277767510627,"Quickize"
"15fee066-7308-1456-4ffc-b9bfa29a22c4",283126.8358333333,12325000.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,115000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98.97533830263455,117.62048502022628,"Allo-Media"
"15ff07f6-4920-1a86-f05b-608424abe678",283126.8358333333,210000.0,4,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1326531.069651459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,84.27277767510627,"Yupp"
"16090aa3-c9da-b60a-51c4-5b7f86266296",3111083.194166667,2997562.0,2,0.0,0.0,3.0,25137500.5,4.5,0.0,0.0,1.0,0.0,0.0,118.0,2997562.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,216.28370192406413,"Eversync Solutions: Now part of Infrascale"
"160bf05e-ea9c-09ee-eb24-cbcafbe8308e",1980047.850833333,1740000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1326531.069651459,1.0,18.0,1740000.0,2.0,0.0,0.0,0.0,97.30521502837156,123.99433253249552,"Aarki"
"16100e4d-03d7-bc77-4fd8-c6c6f9487ee8",25166272.389166664,25371160.0,3,0.0,0.0,4.0,7066666.666666668,1.0,0.0,1.0,3.0,0.0,0.0,43.0,1900000.0,2.0,68.0,5471160.0,3.0,0.0,0.0,0.0,50.6361176044577,129.31682375408118,"Tinyclues"
"161325ad-4316-256f-0056-3097c15eea4f",22338684.030833334,22620000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.5,1620000.0,1.0,40.0,9000000.0,7.0,0.0,0.0,0.0,7.6223331074560035,48.26382471919342,"VergeSense"
"1619d849-77ec-4e2c-b92b-b83d1a58b437",283126.8358333333,5000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,36.27179202858376,"Asnpro"
"16256208-d17f-38d9-3d69-b640893f2cdc",283126.8358333333,552456.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,552456.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,72.28074498449661,"We Prevent"
"162e3723-8d4d-e3bb-d856-8c062f11e58e",283126.8358333333,110169.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,76.32189572681163,"Suade"
